[I]18:41:08.568 ================================================================================
[I]18:41:08.578                                    SGFDebuger                                   
[I]18:41:08.579 --------------------------------------------------------------------------------
[I]18:41:08.579 Time:	18:41:08.567 
[I]18:41:08.579 Path:	F:\Project\gad\Recording\Snaker2\Server\Apps\/ServerLog/
[I]18:41:08.579 ================================================================================
[W]18:54:19.911 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.061 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.129 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.197 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.466 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.483 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.617 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.684 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:20.786 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.106 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.123 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.207 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.325 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.444 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.646 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.793 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.962 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:21.980 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:22.164 > Gateway::DoReceiveInThread() 无效的包! sid:8
[W]18:54:22.181 > Gateway::DoReceiveInThread() 无效的包! sid:8
[I]18:54:22.486 > OnlineManager::OnLoginReq() session:9, index:6, name:aaa
[I]18:54:22.488 > NetManager::Send() index:6, cmd:2
[I]18:54:22.536 > NetManager::Send() index:7, cmd:4
[I]18:56:10.774 > OnlineManager::OnLoginReq() session:10, index:1, name:aaa
[I]18:56:10.775 > NetManager::Send() index:1, cmd:2
[I]18:56:12.542 > NetManager::Send() index:2, cmd:4
[I]18:56:17.545 > NetManager::Send() index:3, cmd:4
[I]18:56:22.550 > NetManager::Send() index:4, cmd:4
[I]18:56:27.557 > NetManager::Send() index:5, cmd:4
[I]19:00:25.709 > OnlineManager::OnLoginReq() session:11, index:1, name:aaa
[I]19:00:25.709 > NetManager::Send() index:1, cmd:2
[I]19:00:28.193 > NetManager::Send() index:2, cmd:4
[I]19:00:33.208 > NetManager::Send() index:3, cmd:4
[I]19:00:38.212 > NetManager::Send() index:4, cmd:4
[I]19:00:43.215 > NetManager::Send() index:5, cmd:4
[I]19:00:48.217 > NetManager::Send() index:6, cmd:4
[I]19:00:53.233 > NetManager::Send() index:7, cmd:4
[I]19:00:58.238 > NetManager::Send() index:8, cmd:4
[I]19:01:03.242 > NetManager::Send() index:9, cmd:4
[I]19:01:08.257 > NetManager::Send() index:10, cmd:4
[I]19:01:13.269 > NetManager::Send() index:11, cmd:4
[I]19:01:18.272 > NetManager::Send() index:12, cmd:4
[I]19:01:23.289 > NetManager::Send() index:13, cmd:4
[I]19:01:28.300 > NetManager::Send() index:14, cmd:4
[I]19:01:33.312 > NetManager::Send() index:15, cmd:4
[I]19:02:45.885 > OnlineManager::OnLoginReq() session:12, index:1, name:aaaa
[I]19:02:45.886 > NetManager::Send() index:1, cmd:2
[I]19:02:59.994 > NetManager::Send() index:2, cmd:4
[I]19:03:40.740 > OnlineManager::OnLoginReq() session:13, index:1, name:aaa
[I]19:03:40.741 > NetManager::Send() index:1, cmd:2
[I]19:03:43.591 > NetManager::Send() index:2, cmd:4
[I]19:03:48.588 > NetManager::Send() index:3, cmd:4
[I]19:03:53.593 > NetManager::Send() index:4, cmd:4
[I]19:06:17.585 > OnlineManager::OnLoginReq() session:14, index:1, name:aaa
[I]19:06:17.586 > NetManager::Send() index:1, cmd:2
[I]19:06:20.499 > NetManager::Send() index:2, cmd:4
[I]19:06:25.503 > NetManager::Send() index:3, cmd:4
[I]19:11:34.653 > OnlineManager::OnLoginReq() session:15, index:1, name:aa
[I]19:11:34.654 > NetManager::Send() index:1, cmd:2
[I]19:11:37.394 > NetManager::Send() index:2, cmd:4
[I]19:11:42.397 > NetManager::Send() index:3, cmd:4
[I]19:11:47.402 > NetManager::Send() index:4, cmd:4
[I]19:11:52.406 > NetManager::Send() index:5, cmd:4
[I]19:11:57.410 > NetManager::Send() index:6, cmd:4
[I]19:12:02.415 > NetManager::Send() index:7, cmd:4
[I]19:14:15.869 > OnlineManager::OnLoginReq() session:16, index:1, name:aaa
[I]19:14:15.870 > NetManager::Send() index:1, cmd:2
[I]19:14:18.606 > NetManager::Send() index:2, cmd:4
[I]19:14:23.610 > NetManager::Send() index:3, cmd:4
[I]19:14:28.616 > NetManager::Send() index:4, cmd:4
[I]19:14:33.629 > NetManager::Send() index:5, cmd:4
[I]19:14:38.634 > NetManager::Send() index:6, cmd:4
[I]19:14:43.640 > NetManager::Send() index:7, cmd:4
[I]19:14:48.655 > NetManager::Send() index:8, cmd:4
[I]19:14:53.660 > NetManager::Send() index:9, cmd:4
[I]19:14:58.664 > NetManager::Send() index:10, cmd:4
[I]19:15:03.669 > NetManager::Send() index:11, cmd:4
[I]19:15:08.668 > NetManager::Send() index:12, cmd:4
[I]19:15:13.673 > NetManager::Send() index:13, cmd:4
[I]19:15:18.677 > NetManager::Send() index:14, cmd:4
[I]19:15:23.682 > NetManager::Send() index:15, cmd:4
[I]19:15:39.125 > OnlineManager::OnLoginReq() session:17, index:1, name:aaa
[I]19:15:39.126 > NetManager::Send() index:1, cmd:2
[I]19:15:42.316 > OnlineManager::OnLoginReq() session:18, index:2, name:aaaaa
[I]19:15:42.317 > NetManager::Send() index:2, cmd:2
[I]19:15:42.505 > NetManager::Send() index:3, cmd:4
[I]19:15:47.509 > NetManager::Send() index:4, cmd:4
[I]19:15:52.512 > NetManager::Send() index:5, cmd:4
[I]19:15:57.516 > NetManager::Send() index:6, cmd:4
[I]19:18:03.101 > OnlineManager::OnLoginReq() session:19, index:1, name:aaa
[I]19:18:03.102 > NetManager::Send() index:1, cmd:2
[I]19:18:04.443 > NetManager::Send() index:2, cmd:4
[I]19:18:09.446 > NetManager::Send() index:3, cmd:4
[I]19:19:07.076 > OnlineManager::OnLoginReq() session:20, index:1, name:ddd
[I]19:19:07.077 > NetManager::Send() index:1, cmd:2
[I]19:19:08.626 > NetManager::Send() index:2, cmd:4
[I]19:20:59.901 > OnlineManager::OnLoginReq() session:21, index:1, name:aaaa
[I]19:20:59.902 > NetManager::Send() index:1, cmd:2
[I]19:21:06.429 > NetManager::Send() index:2, cmd:4
[I]19:21:11.440 > NetManager::Send() index:3, cmd:4
[I]19:22:16.115 > OnlineManager::OnLoginReq() session:22, index:1, name:aaa
[I]19:22:16.117 > NetManager::Send() index:1, cmd:2
[I]19:22:47.287 > NetManager::Send() index:2, cmd:4
[I]19:23:36.952 > OnlineManager::OnLoginReq() session:23, index:1, name:ggg
